,radius,cur_x,cur_y,error_X,error_Y,derivative_X,derivative_y,integral_x,integral_y,angle_x,angle_y,delta_angle_x,delta_angle_y,time
0,10,113.5,106.0,-136.5,-114.0,-2300.0,83.33333333333334,-514.4353059768677,-1413.5129431915275,0.023212768292682928,0.01938648780487805,0.023212768292682928,0.01938648780487805,0.00982046127319336
1,21,96.5,6.976190567016602,-153.5,-213.0238094329834,-2300.0,83.33333333333334,-514.4353059768677,-1413.5129431915275,0.17453292519943295,0.17453292519943295,0.15132015690675002,0.1551464373945549,0.0099945068359375
2,79,98.5,27.0,-151.5,-193.0,-2300.0,83.33333333333334,-514.4353059768677,-1413.5129431915275,-0.004963234417344174,-0.17453292519943295,-0.1562833913240942,-0.32967936259398783,0.002574920654296875
3,92,109.5,58.5,-140.5,-161.5,-2300.0,83.33333333333334,-514.4353059768677,-1413.5129431915275,-0.146201945799458,-0.17453292519943295,0.01008144552463619,0.1551464373945549,0.0
4,79,134.64662170410156,59.61730194091797,-115.35337829589844,-160.38269805908203,-2300.0,83.33333333333334,-514.4353059768677,-1413.5129431915275,-0.17453292519943295,0.010602770842725345,-0.18461437072406914,-0.14454366655182954,0.0023627281188964844
5,75,156.17098999023438,79.92875671386719,-93.82901000976562,-140.0712432861328,-2300.0,83.33333333333334,-514.4353059768677,-1413.5129431915275,-0.17453292519943295,-0.17453292519943295,0.01008144552463619,-0.029989258647603406,0.0
6,73,167.3045196533203,105.7283935546875,-82.69548034667969,-114.2716064453125,-2300.0,83.33333333333334,-514.4353059768677,-1413.5129431915275,-0.15776926983014036,-0.17453292519943295,-0.16785071535477655,-0.14454366655182954,0.0
7,71,182.5,104.0,-67.5,-116.0,-2300.0,83.33333333333334,-514.4353059768677,-1413.5129431915275,-0.17453292519943295,0.047561817499181445,-0.006682209844656395,0.192105484051011,0.0
8,71,199.153564453125,129.0659942626953,-50.846435546875,-90.93400573730469,-2300.0,83.33333333333334,-514.4353059768677,-1413.5129431915275,-0.17453292519943295,-0.17453292519943295,-0.16785071535477655,-0.36663840925044394,0.010328292846679688
9,80,206.5,142.5,-43.5,-77.5,-2300.0,83.33333333333334,-514.4353059768677,-1413.5129431915275,-0.10553840676788911,-0.17453292519943295,0.06231230858688744,0.192105484051011,0.0
10,84,213.5,152.5,-36.5,-67.5,-2300.0,83.33333333333334,-514.4353059768677,-1413.5129431915275,-0.10131720669166959,-0.14222137571707524,-0.16362951527855701,-0.33432685976808624,0.0
11,70,251.46263122558594,155.19024658203125,1.4626312255859375,-64.80975341796875,-2300.0,83.33333333333334,-514.4353059768677,-1413.5129431915275,-0.17453292519943295,-0.029303580628966253,-0.010903409920875934,0.30502327913912,0.0
12,70,259.8139953613281,172.01051330566406,9.813995361328125,-47.98948669433594,-2300.0,83.33333333333334,-514.4353059768677,-1413.5129431915275,-0.13010786865081378,-0.17453292519943295,-0.11920445872993785,-0.47955620433855295,0.019516944885253906
13,70,270.2783203125,186.15821838378906,20.2783203125,-33.84178161621094,-2300.0,83.33333333333334,-514.4353059768677,-1413.5129431915275,-0.16465049041677748,-0.17453292519943295,-0.04544603168683964,0.30502327913912,0.0
14,68,288.0606384277344,203.70303344726562,38.060638427734375,-16.296966552734375,-2300.0,83.33333333333334,-514.4353059768677,-1413.5129431915275,-0.17453292519943295,-0.17453292519943295,-0.1290868935125933,-0.47955620433855295,0.0
15,70,294.40057373046875,205.8799285888672,44.40057373046875,-14.120071411132812,-2300.0,83.33333333333334,-514.4353059768677,-1413.5129431915275,-0.10487451131023623,-0.029811078630230293,0.02421238220235708,0.44974512570832265,0.0
16,69,299.6328125,225.99620056152344,49.6328125,5.9962005615234375,-2300.0,83.33333333333334,-514.4353059768677,-1413.5129431915275,-0.08863572715436735,-0.17453292519943295,-0.11284810935672443,-0.6242780509077556,0.00997304916381836
17,68,304.2762145996094,229.55587768554688,54.276214599609375,9.555877685546875,-2300.0,83.33333333333334,-514.4353059768677,-1413.5129431915275,-0.08034481520419652,-0.05526460421979849,0.03250329415252791,0.5690134466879571,0.009686946868896484
18,75,316.59735107421875,231.44290161132812,66.59735107421875,11.442901611328125,-2300.0,83.33333333333334,-514.4353059768677,-1413.5129431915275,-0.17453292519943295,-0.029666204375595265,-0.20703621935196087,-0.5986796510635524,0.0
19,68,318.4030456542969,233.6791229248047,68.40304565429688,13.679122924804688,-2300.0,83.33333333333334,-514.4353059768677,-1413.5129431915275,-0.038873846058791246,-0.03547040665127204,0.16816237329316963,0.5632092444122804,0.0
20,71,328.2181396484375,240.69358825683594,78.2181396484375,20.693588256835938,-2300.0,83.33333333333334,-514.4353059768677,-1413.5129431915275,-0.16476458069480338,-0.11074553367655582,-0.332926953987973,-0.6739547780888362,0.010275840759277344
21,70,329.926025390625,252.8157501220703,79.926025390625,32.81575012207031,-2300.0,83.33333333333334,-514.4353059768677,-1413.5129431915275,-0.0394567078060574,-0.17453292519943295,0.2934702461819156,0.4994218528894032,0.0
22,68,339.1595458984375,246.48464965820312,89.1595458984375,26.484649658203125,-2300.0,83.33333333333334,-514.4353059768677,-1413.5129431915275,-0.15776049517644455,0.09509311044477446,-0.45123074135836017,-0.40432874244462874,0.0
23,68,335.0293273925781,260.482666015625,85.02932739257812,40.482666015625,-2300.0,83.33333333333334,-514.4353059768677,-1413.5129431915275,0.050013129482238274,-0.17453292519943295,0.5012438708405984,0.2297958172451958,0.0
